"CellName","PageInstance","AdjustmentValue","Comment","RowKey"
"LRCAR010C010","1","0",,
"LRCAR010C020","1","0",,
"LRCAR010C030","1","0",,
"LRCAR020C010","1","0",,
"LRCAR020C020","1","0",,
"LRCAR020C030","1","376425",,
"LRCAR030C010","1","0",,
"LRCAR030C020","1","0",,
"LRCAR030C030","1","4285",,
"LRCAR040C010","1","0",,
"LRCAR040C020","1","0",,
"LRCAR040C030","1","24.27",,
"LRCAR050C010","1","0",,
"LRCAR050C020","1","0",,
"LRCAR050C030","1","0",,
"LRCAR060C010","1","0",,
"LRCAR060C020","1","0",,
"LRCAR060C030","1","254.2",,
"LRCAR070C010","1","0",,
"LRCAR070C020","1","0",,
"LRCAR070C030","1","827",,
"LRCAR080C010","1","0",,
"LRCAR080C020","1","0",,
"LRCAR080C030","1","3086.8",,
"LRCAR090C010","1","0",,
"LRCAR090C020","1","0",,
"LRCAR090C030","1","3396",,
"LRCAR100C010","1","0",,
"LRCAR100C020","1","0",,
"LRCAR100C030","1","28026",,
"LRCAR110C010","1","0",,
"LRCAR110C020","1","0",,
"LRCAR110C030","1","-73084.004",,
"LRCAR120C010","1","0",,
"LRCAR120C020","1","0",,
"LRCAR120C030","1","-19894.244",,
"LRCAR130C010","1","0",,
"LRCAR130C020","1","0",,
"LRCAR130C030","1","65318.644625033",,
"LRCAR130C030CA","1","0",,
"LRCAR140C010","1","0",,
"LRCAR140C020","1","0",,
"LRCAR140C030","1","59685.2497116798",,
"LRCAR140C030CA","1","0",,
"LRCAR150C010","1","0",,
"LRCAR150C020","1","0",,
"LRCAR150C030","1","-74044.004",,
"LRCAR160C010","1","0",,
"LRCAR160C020","1","0",,
"LRCAR160C030","1","0",,
"LRCAR170C010","1","0",,
"LRCAR170C020","1","0",,
"LRCAR170C030","1","-20854.244",,
"LRCAR180C010","1","0",,
"LRCAR180C020","1","0",,
"LRCAR180C030","1","-17.93037275",,
"LRCAR180C040","1","0",,
"LRCAR190C010","1","0",,
"LRCAR190C020","1","0",,
"LRCAR190C030","1","-4.3708696925",,
"LRCAR190C040","1","0",,
"LRWAIVER","1","",,
"LR01R010C010","1","3760",,
"LR01R010C020","1","3760",,
"LR01R010C030","1","3760",,
"LR01R010C050","1","24.27",,
"LR01R020C010","1","0",,
"LR01R020C020","1","0",,
"LR01R020C050","1","0",,
"LR01R030C050","1","0",,
"LR01R040C050","1","0",,
"LR01R050C010","1","0",,
"LR01R050C020","1","0",,
"LR01R050C050","1","0",,
"LR01R060C010","1","3760",,
"LR01R060C020","1","3760",,
"LR01R060C050","1","24.27",,
"LR01R070C010","1","474.5",,
"LR01R070C020","1","1097",,
"LR01R070C040","1","1497",,
"LR01R080C010","1","3941.5",,
"LR01R080C020","1","9067",,
"LR01R080C040","1","22169",,
"LR01R090C010","1","376841.75",,
"LR01R090C020","1","425516",,
"LR01R200C020","1","74874",,
"LR01R210C020","1","0",,
"LR01R220C020","1","50",,
"LR01R230C020","1","110022",,
"LR01R240C020","1","546",,
"LR01R010C060","1","24.27",,
"LR01R010C070","1","3760",,
"LR01R020C070","1","0",,
"LR01R030C070","1","0",,
"LR01R040C070","1","0",,
"LR01R050C070","1","0",,
"LR01R050C080","1","0",,
"LR01R050C090","1","0",,
"LR01R050C100","1","0",,
"LR01R050C110","1","0",,
"LR01R060C070","1","3760",,
"LR01R100C070","1","2551",,
"LR01R110C070","1","0",,
"LR01R120C070","1","0",,
"LR01R130C070","1","0",,
"LR01R140C070","1","6372",,
"LR01R150C070","1","5976",,
"LR01R160C070","1","1650",,
"LR01R170C070","1","0",,
"LR01R180C070","1","0",,
"LR01R190C070","1","0",,
"LR02R010C010","1","482331.67",,
"LR02R010C020","1","0",,
"LR02R020C010","1","312268.8",,
"LR02R020C020","1","0",,
"LR02R030C010","1","2070",,
"LR02R030C020","1","0",,
"LR02R040C010","1","87704.87",,
"LR02R040C020","1","0",,
"LR02R050C010","1","28705",,
"LR02R050C020","1","0",,
"LR02R060C010","1","3795",,
"LR02R060C020","1","0",,
"LR02R070C010","1","45543",,
"LR02R070C020","1","0",,
"LR02R080C010","1","1529",,
"LR02R080C020","1","0",,
"LR02R090C010","1","0",,
"LR02R090C020","1","0",,
"LR02R100C010","1","716",,
"LR02R100C020","1","0",,
"LR02R110C030","1","2044",,
"LR03R010C010","1","-70522.004",,
"LR03R020C010","1","-19894.244",,
"LR03R030C010","1","-70165.004",,
"LR03R040C010","1","-19894.244",,
"LR03R050C010","1","-71482.004",,
"LR03R060C010","1","-20854.244",,
"LR03R070C010","1","-71125.004",,
"LR03R080C010","1","-20854.244",,
"LR04R010C010","1","7564",,
"LR04R010C020","1","1146.12",,
"LR04R020C010","1","3369.2",,
"LR04R020C020","1","276.68",,
"LR04R030C010","1","1132",,
"LR04R030C020","1","45.28",,
"LR04R040C010","1","34954.18",,
"LR04R040C020","1","7028.936",,
"LR04R050C010","1","1342.09",,
"LR04R050C020","1","268.418",,
"LR04R060C010","1","344438",,
"LR04R060C020","1","24971",,
"LR04R070C010","1","369",,
"LR04R070C020","1","369",,
"LR04R080C010","1","3420",,
"LR04R080C020","1","0",,
"LR04R080C030","1","549.5",,
"LR04R080C040","1","0",,
"LR04R090C010","1","8441",,
"LR04R090C020","1","0",,
"LR04R090C030","1","3049.4",,
"LR04R090C040","1","0",,
"LR04R100C010","1","4478",,
"LR04R100C020","1","0",,
"LR04R100C030","1","544",,
"LR04R100C040","1","0",,
"LR04R110C010","1","1050",,
"LR04R110C020","1","0",,
"LR04R110C030","1","210",,
"LR04R110C040","1","0",,
"LR04R120C010","1","2141",,
"LR04R120C020","1","0",,
"LR04R120C030","1","2141",,
"LR04R120C040","1","0",,
"LR04R130C010","1","772",,
"LR04R130C020","1","0",,
"LR04R130C030","1","154.4",,
"LR04R130C040","1","0",,
"LR04R140C010","1","1614",,
"LR04R140C020","1","0",,
"LR04R140C030","1","0",,
"LR04R140C040","1","0",,
"LR04R150C010","1","0",,
"LR04R150C020","1","0",,
"LR04R150C030","1","0",,
"LR04R150C040","1","0",,
"LR04R160C010","1","1614",,
"LR04R160C020","1","0",,
"LR04R160C030","1","0",,
"LR04R160C040","1","0",,
"LR04R170C010","1","0",,
"LR04R170C020","1","0",,
"LR04R170C030","1","0",,
"LR04R170C040","1","0",,
"LR04R180C010","1","1500",,
"LR04R180C020","1","0",,
"LR04R180C030","1","570",,
"LR04R180C040","1","0",,
"LR04R190C010","1","369",,
"LR04R190C020","1","0",,
"LR04R190C030","1","0",,
"LR04R190C040","1","0",,
"LR04R200C010","1","369",,
"LR04R200C020","1","0",,
"LR04R200C030","1","0",,
"LR04R200C040","1","0",,
"LR04R210C010","1","355",,
"LR04R210C020","1","0",,
"LR04R210C030","1","266.25",,
"LR04R210C040","1","0",,
"LR04R220C010","1","355",,
"LR04R220C020","1","0",,
"LR04R220C030","1","266.25",,
"LR04R220C040","1","0",,
"LR04R230C010","1","3893",,
"LR04R230C020","1","0",,
"LR04R230C030","1","3893",,
"LR04R230C040","1","0",,
"LR04R240C010","1","1510",,
"LR04R240C020","1","0",,
"LR04R240C030","1","1510",,
"LR04R240C040","1","0",,
"LR04R250C010","1","2383",,
"LR04R250C020","1","0",,
"LR04R250C030","1","2383",,
"LR04R250C040","1","0",,
"LR04R260C010","1","2333",,
"LR04R260C020","1","0",,
"LR04R260C030","1","2333",,
"LR04R260C040","1","0",,
"LR04R270C010","1","50",,
"LR04R270C020","1","0",,
"LR04R270C030","1","50",,
"LR04R270C040","1","0",,
"LR04R280C010","1","359",,
"LR04R280C020","1","0",,
"LR04R280C030","1","538.5",,
"LR04R280C040","1","0",,
"LR04R290C010","1","7706",,
"LR04R290C020","1","0",,
"LR04R290C030","1","5739.5",,
"LR04R290C040","1","0",,
"LR04R300C010","1","0",,
"LR04R300C020","1","0",,
"LR04R300C030","1","0",,
"LR04R300C040","1","0",,
"LR04R310C010","1","2372",,
"LR04R310C020","1","0",,
"LR04R310C030","1","0",,
"LR04R310C040","1","0",,
"LR04R320C010","1","1184",,
"LR04R320C020","1","0",,
"LR04R320C030","1","0",,
"LR04R320C040","1","0",,
"LR05R010C010","1","Joint stock company",,
"LR05R010C010XBRL","1","",,
"LR05R020C010","1","Mark-to-market method",,
"LR05R020C010XBRL","1","",,
"LR05R030C010","1","IFRS",,
"LR05R030C010XBRL","1","",,
"LR05R040C010","1","Retail/commercial banking",,
"LR05R040C010XBRL","1","",,
"LR05R050C010","1","End-quarter",,
"LR05R050C010XBRL","1","",,
"LR05R060C010","1","Consolidated",,
"LR05R060C010XBRL","1","",,
"LR06R010C010","1","0",,
"LR06R010C020","1","0",,
"LR06R010C030","1","0",,
"LR06R020C010","1","0",,
"LR06R020C020","1","0",,
"LR06R020C030","1","0",,
"LR06R030C010","1","0",,
"LR06R030C020","1","0",,
"LR06R030C030","1","0",,
"LR06R040C010","1","0",,
"LR06R040C020","1","0",,
"LR06R040C030","1","0",,
"LR06R050C010","1","0",,
"LR06R050C020","1","0",,
"LR06R050C030","1","0",,
"LR06R060C010","1","0",,
"LR06R060C020","1","0",,
"LR06R060C030","1","0",,
"LR06R070C010","1","0",,
"LR06R070C020","1","0",,
"LR06R070C030","1","0",,
"LR06R080C010","1","0",,
"LR06R080C020","1","0",,
"LR06R080C030","1","0",,
"LR06R090C010","1","0",,
"LR06R090C020","1","0",,
"LR06R090C030","1","0",,
"LR06R100C010","1","0",,
"LR06R100C020","1","0",,
"LR06R100C030","1","0",,
"LR06R110C010","1","0",,
"LR06R110C020","1","0",,
"LR06R110C030","1","0",,
"LR06R120C010","1","0",,
"LR06R120C020","1","0",,
"LR06R120C030","1","0",,
"LR06R130C010","1","0",,
"LR06R130C020","1","0",,
"LR06R130C030","1","0",,
"LR06R140C010","1","0",,
"LR06R140C020","1","0",,
"LR06R140C030","1","0",,
"LR06R150C010","1","0",,
"LR06R150C020","1","0",,
"LR06R150C030","1","0",,
"LR06R160C010","1","0",,
"LR06R160C030","1","0",,
"LR06R170C030","1","0",,
